Model,Accuracy,AUC Score,Precision,Recall,F1 Score,MCC Score
Logistic Regression,0.9385964912280702,0.9927248677248678,0.972972972972973,0.8571428571428571,0.9113924050632911,0.8687664928166448
Decision Tree,0.9298245614035088,0.9246031746031745,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8492063492063492
K-Nearest Neighbors,0.9122807017543859,0.9546957671957672,0.9705882352941176,0.7857142857142857,0.868421052631579,0.8138146550149407
Gaussian Naive Bayes,0.9385964912280702,0.9933862433862434,1.0,0.8333333333333334,0.9090909090909091,0.8714893406611902
Random Forest,0.9736842105263158,0.9928902116402116,1.0,0.9285714285714286,0.9629629629629629,0.9441549509633318
